entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
97952.26,96451.98,-107.21508620628042,SL,long,-1.5316440886611489,2025-01-07 12:00:00,2025-01-07 16:00:00
96451.98,95134.92,-94.56077427329944,SL,long,-1.3655085152217692,2025-01-07 16:00:00,2025-01-08 08:00:00
95327.06,90851.22,322.0355109330103,TP,short,4.695246029826155,2025-01-10 16:00:00,2025-01-13 08:00:00
94536.1,96548.04,-150.76725865350065,SL,short,-2.1282240329355533,2025-01-13 20:00:00,2025-01-14 08:00:00
102082.83,105564.0,237.98172994120065,TP,long,3.4101425283762197,2025-01-27 20:00:00,2025-01-30 12:00:00
102429.56,100635.65,-125.13870928678075,SL,long,-1.751359666096392,2025-01-31 20:00:00,2025-02-01 20:00:00
101880.0,100629.7,-86.61327813441493,Trend Change,long,-1.227228111503733,2025-02-03 16:00:00,2025-02-04 00:00:00
97218.69,98268.97,-75.5905570242046,SL,short,-1.0803272498323098,2025-02-10 12:00:00,2025-02-11 04:00:00
97205.06,94104.14,221.52215211294043,TP,short,3.1900808455856087,2025-02-12 16:00:00,2025-02-18 16:00:00
95687.71,96422.6,-54.522152703242575,SL,short,-0.768008765179979,2025-02-19 04:00:00,2025-02-19 08:00:00
95943.74,96644.37,-51.562956557779756,SL,short,-0.7302508741060021,2025-02-19 12:00:00,2025-02-19 20:00:00
96903.77,98422.8,-110.11987315605994,SL,short,-1.5675654311488592,2025-02-20 12:00:00,2025-02-20 16:00:00
96181.98,91552.88,334.38827477131446,TP,short,4.812855796896666,2025-02-21 20:00:00,2025-02-24 20:00:00
90035.37,85606.0,353.31925682495813,TP,short,4.919588823814458,2025-03-03 12:00:00,2025-03-03 16:00:00
88206.19,90606.01,-202.12601054797227,SL,short,-2.720693411652847,2025-03-04 16:00:00,2025-03-05 20:00:00
88457.99,83080.41,443.03859610832404,TP,short,6.07924733537355,2025-03-07 12:00:00,2025-03-09 12:00:00
84724.58,86845.94,-190.23725190440152,SL,short,-2.5038306474933254,2025-03-14 12:00:00,2025-03-19 20:00:00
84691.76,86082.5,-122.57900914431828,SL,short,-1.6421196111640675,2025-03-20 12:00:00,2025-03-23 20:00:00
85212.99,82293.56,252.80317426893222,TP,short,3.4260386825999274,2025-03-28 04:00:00,2025-03-29 08:00:00
83930.3,85280.87,-121.58528609892105,SL,short,-1.609156645454612,2025-04-01 08:00:00,2025-04-01 12:00:00
84972.01,86757.67,-156.9950217749143,SL,short,-2.101468471794422,2025-04-01 16:00:00,2025-04-02 12:00:00
94277.62,93770.31,-39.60880750172196,SL,long,-0.5381022558694181,2025-05-04 20:00:00,2025-05-05 12:00:00
93770.31,96834.02,239.59089199673076,TP,long,3.2672495163981083,2025-05-05 12:00:00,2025-05-06 20:00:00
103605.88,107026.47,247.64261322060938,TP,long,3.301540414501567,2025-05-19 00:00:00,2025-05-20 16:00:00
106967.97,110094.62,224.31428769252526,TP,long,2.9229777848453082,2025-05-25 12:00:00,2025-05-26 04:00:00
107107.31,105731.74,-100.5753033216064,SL,long,-1.2842914269810273,2025-05-28 12:00:00,2025-05-29 16:00:00
105482.02,104696.86,-57.76775833245166,SL,long,-0.7443543458875773,2025-06-03 00:00:00,2025-06-04 20:00:00
105092.28,104219.8,-64.09463136994546,SL,long,-0.8302037028790278,2025-06-06 12:00:00,2025-06-06 16:00:00
107860.05,106900.95,-68.25100163241689,SL,long,-0.8892078206898715,2025-06-12 00:00:00,2025-06-12 08:00:00
106794.53,105641.47,-82.35632502504303,SL,long,-1.0796994939722078,2025-06-16 20:00:00,2025-06-17 08:00:00
105641.47,105811.74,-12.201211121111989,Trend Change,short,-0.1611772346598396,2025-06-17 08:00:00,2025-06-20 04:00:00
105977.82,104217.99,-125.56387547953655,SL,long,-1.6605644464096372,2025-06-20 08:00:00,2025-06-20 12:00:00
103161.29,105333.93,-157.39908225644493,SL,short,-2.106061294890748,2025-06-23 16:00:00,2025-06-23 20:00:00
107580.46,107146.5,-29.702791958446966,SL,long,-0.4033818037216111,2025-06-30 12:00:00,2025-06-30 20:00:00
106605.8,105955.18,-44.81253430796984,SL,long,-0.6103045050081796,2025-07-01 08:00:00,2025-07-01 12:00:00
105955.18,105398.53,-38.410822940499465,SL,long,-0.5253636490448077,2025-07-01 12:00:00,2025-07-01 16:00:00
107080.0,109676.14,176.60917283387798,TP,long,2.424486365334329,2025-07-02 04:00:00,2025-07-02 16:00:00
107573.29,111750.0,287.6286366697743,TP,long,3.8826645536266544,2025-07-04 12:00:00,2025-07-09 16:00:00
117860.25,116767.67,-70.53978392725146,SL,long,-0.927013136320347,2025-07-18 12:00:00,2025-07-21 16:00:00
116767.67,119154.99,154.56419574590896,TP,long,2.044504270745496,2025-07-21 16:00:00,2025-07-22 08:00:00
118567.39,115419.66,-203.57500392950013,SL,long,-2.6548024714046554,2025-07-23 12:00:00,2025-07-25 00:00:00
118174.9,117400.01,-49.34695448936829,SL,long,-0.6557145383664378,2025-07-28 12:00:00,2025-07-29 12:00:00
117400.01,116785.79,-39.192535494116456,SL,long,-0.5231856453845286,2025-07-29 12:00:00,2025-07-31 16:00:00
114826.0,112934.0,122.98014485346512,TP,short,1.6477104488530472,2025-08-04 12:00:00,2025-08-05 12:00:00
115413.87,116519.53,-72.32662039965862,SL,short,-0.957995776417517,2025-08-06 12:00:00,2025-08-07 08:00:00
116207.69,118500.0,147.92816966326734,TP,long,1.9725975105434053,2025-08-08 12:00:00,2025-08-10 00:00:00
118257.25,117275.22,-63.1342716888009,SL,long,-0.8304184310052862,2025-08-14 12:00:00,2025-08-15 12:00:00
116370.75,115568.77,-52.09019829511406,Trend Change,long,-0.6891594322456425,2025-08-22 12:00:00,2025-08-23 00:00:00
110322.18,111240.01,-62.58000063307573,SL,short,-0.8319541908979698,2025-09-02 00:00:00,2025-09-02 20:00:00
110716.82,111614.54,-60.63548582039536,SL,short,-0.8108253109148065,2025-09-05 12:00:00,2025-09-05 16:00:00
112052.43,112631.75,-38.44366875173425,SL,short,-0.5170079756414091,2025-09-08 08:00:00,2025-09-08 12:00:00
111708.0,112991.11,-85.10059765126749,SL,short,-1.1486285673362702,2025-09-09 00:00:00,2025-09-09 04:00:00
110880.76,111546.39,-44.118798326674195,SL,short,-0.6003115418761602,2025-09-09 12:00:00,2025-09-09 20:00:00
112299.99,114400.01,136.85537709688634,TP,long,1.8700090712385542,2025-09-10 08:00:00,2025-09-11 00:00:00
115070.0,116800.12,111.47572913263267,TP,long,1.5035369774919574,2025-09-15 08:00:00,2025-09-16 16:00:00
115875.32,115125.12,-48.50642639514715,SL,long,-0.6474200028099267,2025-09-17 12:00:00,2025-09-19 16:00:00
114649.89,112519.99,-138.5562331820505,SL,long,-1.8577427331155698,2025-09-22 00:00:00,2025-09-22 04:00:00
112163.95,113815.57,-108.39584616884963,SL,short,-1.4725052033206836,2025-09-28 20:00:00,2025-09-29 12:00:00
113055.01,116789.58,240.66163143320864,TP,long,3.303321100055634,2025-09-30 08:00:00,2025-10-01 08:00:00
121147.14,119018.98,-130.94084165757258,SL,long,-1.7566737440107985,2025-10-09 12:00:00,2025-10-10 12:00:00
110803.22,108086.37,180.51936428664567,TP,short,2.4519594286158886,2025-10-20 16:00:00,2025-10-21 04:00:00
111780.39,107555.05,283.0723275162408,TP,short,3.780036909873007,2025-10-21 16:00:00,2025-10-22 08:00:00
110046.91,111004.89,-66.91478771015903,SL,short,-0.8705196720198649,2025-10-24 12:00:00,2025-10-24 20:00:00
112898.45,112523.49,-25.373825359804933,Trend Change,long,-0.33212147730991154,2025-10-28 20:00:00,2025-10-29 00:00:00
111509.74,107711.56,259.62163440056617,TP,short,3.406141920876156,2025-10-29 12:00:00,2025-10-30 12:00:00
110202.9,105745.71,315.6309824443466,TP,short,4.044530588577968,2025-10-31 12:00:00,2025-11-03 12:00:00
103762.17,104805.57,-80.69526881711734,SL,short,-1.0055687925570647,2025-11-09 12:00:00,2025-11-09 16:00:00
105079.99,105817.99,-55.96349440289742,SL,short,-0.7023221071871057,2025-11-10 12:00:00,2025-11-10 16:00:00
90459.35,91425.52,-84.68923364144506,SL,short,-1.0680709069875012,2025-12-05 12:00:00,2025-12-07 16:00:00
90395.31,91565.46,-101.87428081070539,SL,short,-1.2944808751693075,2025-12-07 20:00:00,2025-12-08 04:00:00
89961.37,92707.51,-238.05773186860822,SL,short,-3.052576900507406,2025-12-08 12:00:00,2025-12-09 12:00:00
90198.22,87033.22,267.80015295858595,TP,short,3.5089384247272286,2025-12-12 16:00:00,2025-12-15 12:00:00
88513.44,84483.79,355.9849732405507,TP,short,4.552585460467934,2025-12-18 12:00:00,2025-12-18 16:00:00
87951.87,89170.1,-111.75885849154949,SL,short,-1.3851098333668297,2025-12-19 12:00:00,2025-12-22 04:00:00
88052.43,88620.79,-51.57610474075049,SL,short,-0.6454790628719737,2025-12-22 16:00:00,2025-12-22 20:00:00
87574.79,88371.27,-72.34281552940014,SL,short,-0.9094854809243739,2025-12-23 04:00:00,2025-12-25 12:00:00
88844.87,90123.55,-113.75105219295753,SL,short,-1.4392277235590616,2025-12-26 00:00:00,2025-12-29 00:00:00
